Event Count,location,Event duration
0,"{'latitude': 21.0928232, 'longitude': 83.5287327}",1263.998
1,"{'latitude': 21.1912364, 'longitude': 83.5869311}",343.5
2,"{'latitude': 20.1986492, 'longitude': 83.2312064}",1358.165
3,"{'latitude': 19.891533333333335, 'longitude': 82.06593166666667}",2423.445
4,"{'latitude': 21.1667245, 'longitude': 83.5788649}",496
5,"{'latitude': 21.7103171, 'longitude': 86.6240053}",1547
6,"{'latitude': 20.6352218, 'longitude': 84.4216154}",812.452
7,"{'latitude': 22.3929965, 'longitude': 84.9511595}",355.83
8,"{'latitude': 19.891533333333335, 'longitude': 82.06593166666667}",1960.107
9,"{'latitude': 19.9067201, 'longitude': 83.1616117}",761.868
10,"{'latitude': 20.8387372, 'longitude': 84.322003}",331.828
11,"{'latitude': 21.7661521, 'longitude': 85.9731422}",393.2
12,"{'latitude': 20.600849, 'longitude': 84.7848382}",961.272
13,"{'latitude': 20.1621558, 'longitude': 84.4165334}",306.412
14,"{'latitude': 20.3554272, 'longitude': 83.4416472}",770
15,"{'latitude': 22.0866551, 'longitude': 86.1139743}",2032.834
16,"{'latitude': 19.9066723, 'longitude': 83.1615256}",1273
17,"{'latitude': 21.784626666666668, 'longitude': 84.58424666666667}",1116.75
18,"{'latitude': 20.8513879, 'longitude': 83.5097068}",1001.8
19,"{'latitude': 22.1148422, 'longitude': 84.0483031}",927.866
20,"{'latitude': 21.1967786, 'longitude': 83.5890014}",1391
21,"{'latitude': 21.203546, 'longitude': 85.5953121}",993.75
22,"{'latitude': 19.346466666666668, 'longitude': 83.124055}",1208.75
23,"{'latitude': 21.784615, 'longitude': 84.58432666666667}",357.5
24,"{'latitude': 20.8386288, 'longitude': 84.3220207}",1126.548
25,"{'latitude': 22.3929965, 'longitude': 84.9511595}",729
26,"{'latitude': 21.1932192, 'longitude': 83.5878988}",643.5
27,"{'latitude': 20.1932977, 'longitude': 83.5152324}",309.913
28,"{'latitude': 18.8037004, 'longitude': 82.7172388}",1135.748
29,"{'latitude': 19.388086666666666, 'longitude': 82.26740333333333}",21786.8
30,"{'latitude': 18.2916265, 'longitude': 82.1204716}",390
31,"{'latitude': 20.1934262, 'longitude': 83.5150606}",329.336
32,"{'latitude': 19.5578387, 'longitude': 82.8627577}",2119.041
33,"{'latitude': 19.891256666666667, 'longitude': 82.06587666666667}",393.111
34,"{'latitude': 21.784686666666666, 'longitude': 84.58436}",1652.6
35,"{'latitude': 19.39098, 'longitude': 82.27014166666666}",947.334
36,"{'latitude': 22.3929901, 'longitude': 84.9511616}",968.336
37,"{'latitude': 19.13866, 'longitude': 82.31579333333333}",302.667
38,"{'latitude': 20.2484255, 'longitude': 86.1680496}",886.834
39,"{'latitude': 19.346535, 'longitude': 83.12406333333334}",1693.33
40,"{'latitude': 20.0819567, 'longitude': 82.4483129}",355.25
41,"{'latitude': 20.9426602, 'longitude': 83.5226449}",649
42,"{'latitude': 19.6241868, 'longitude': 83.4923814}",1001.332
43,"{'latitude': 19.5438179, 'longitude': 82.9308414}",444.476
44,"{'latitude': 21.3398064, 'longitude': 83.623116}",585.495
45,"{'latitude': 21.2467402, 'longitude': 83.7064406}",317
46,"{'latitude': 19.9269266, 'longitude': 84.5822828}",326.104
47,"{'latitude': 18.1731, 'longitude': 81.54117666666667}",587.667
48,"{'latitude': 20.0620859, 'longitude': 83.3848692}",770
49,"{'latitude': 19.388036666666668, 'longitude': 82.267505}",808.75
50,"{'latitude': 20.2194667, 'longitude': 86.4427165}",597.664
51,"{'latitude': 21.1121543, 'longitude': 83.5600125}",309.166
52,"{'latitude': 19.891436666666667, 'longitude': 82.06591166666666}",896.223
53,"{'latitude': 20.0980656, 'longitude': 82.6304527}",2478.501
54,"{'latitude': 19.295236666666668, 'longitude': 82.72285166666667}",974.889
55,"{'latitude': 19.719096666666665, 'longitude': 82.37015333333333}",672.444
